,A,B
0,19,82
1,36,86
2,84,10
3,11,80
4,21,78
5,90,77
6,29,80
7,76,24
8,87,44
9,53,9
10,58,20
11,43,20
12,44,0
13,9,84
14,51,68
15,41,20
16,47,81
17,72,14
18,80,23
19,5,41
20,79,15
21,62,3
22,47,16
23,65,87
24,87,84
25,79,75
26,32,48
27,86,65
28,45,78
29,73,33
30,49,12
31,19,53
32,45,3
33,68,66
34,70,39
35,94,53
36,63,75
37,69,14
38,93,54
39,38,22
40,20,24
41,24,72
42,7,46
43,46,17
44,53,49
45,7,16
46,19,72
47,29,40
48,60,19
49,41,64
50,9,6
51,2,20
52,31,59
53,95,51
54,8,73
55,47,73
56,22,70
57,21,65
58,65,98
59,26,87
60,62,21
61,34,87
62,92,29
63,23,95
64,44,25
65,92,27
66,32,3
67,63,67
68,24,22
69,5,24
70,97,90
71,55,73
72,31,35
73,51,68
74,61,99
75,36,57
76,77,24
77,22,2
78,96,24
79,17,89
80,77,21
81,83,15
82,1,86
83,27,11
84,52,0
85,88,33
86,86,39
87,12,98
88,11,83
89,94,88
90,0,57
91,98,80
92,98,12
93,97,59
94,47,55
95,34,66
96,14,6
97,33,11
98,34,25
99,93,77
